slug,title,publisher,source_type,published_on,retrieved_on,url,notes
nysmaple-sap-per-tree,How Much Sap Can One Tree Produce?,New York State Maple Producers Association,trade_body,,2026-07-30,https://nysmaple.com/how-much-sap-can-one-tree-produce/,"A producers' association page, and the most quotable of the three - which is exactly why it needs watching. It supplies the modal ""most trees today have only one tap"", which is load-bearing here: it is what lets a per-TAP yield stand in for a per-TREE yield without inventing a multiplier.
It also states the bare ""approximately 40 gallons of sap"" that COOPER preferred over UVM's rule. Kept as a source because the one-tap figure is genuinely useful, cited for the ratio nowhere."
ofot-sector-summary-2021,"ענף הלול - סיכום 2021 (Poultry sector summary, 2021)",ארגון מגדלי עופות בישראל (Israel Poultry Growers Organisation),trade_body,,2026-07-30,https://ofot.co.il/%D7%A2%D7%A0%D7%A3-%D7%94%D7%9C%D7%95%D7%9C-%D7%A1%D7%99%D7%9B%D7%95%D7%9D-2021/,"The growers' organisation, not the statutory Poultry Board - note the domains, ofot.CO.il is the growers and ofot.ORG.il is the council. Undated on the page beyond the year it summarises, so published_on is NULL.
Carries a sector table for 2021 that no government publication matches: 3,630 active growers across family farms and kibbutzim, of which 604 raise broilers producing 515,400 tonnes worth NIS 3,414 million, 2,863 produce 2,230 million table eggs, and 78 breeding operations supply 244 million chicks.
HOW THIS DOCUMENT WAS FOUND is worth recording. COOPER fetched it during batch-05 and both models returned nothing from it; a human reading the same downloaded file found the table in minutes. That is the second time the returned artifacts have been worth more than the extraction, and it is the reason raw documents come back with every batch. See docs/research/accepted/batch-05-israel-hebrew-REVIEW.md.
Graded 'trade_body' rather than 'government': it is an industry association reporting on its own members. Nobody enumerated these figures the way NASS enumerates US slaughter, and the corpus should not imply otherwise by placing them in the same tier."
ou-kosher-shechita,Shechita: All About Kosher Ritual Slaughter,Orthodox Union (OU Kosher),trade_body,,2026-07-29,https://oukosher.org/blog/consumer-kosher/shechita/,"A kosher certification agency describing its own procedure, which makes it authoritative on WHAT HAPPENS and silent on HOW OFTEN.
For poultry, post-slaughter bedikah inspects the lungs, intestines and tendon junctions, and a mashgiach pulls any bird with a blemish off the line for a rav to rule on. That is a loss stage with no US analogue - FSIS has no equivalent check - and it should push the birds-required number up.
NO REJECTION RATE IS PUBLISHED, here or anywhere reachable. So the stage can be described honestly and cannot yet be quantified: any figure we put on it would be an 'estimate' of our own making, which is the grade the project is trying to reduce. Recorded as a known gap rather than filled."
psu-extension-saffron,Saffron: A Tale of Red Gold and How to Produce Your Own,Penn State Extension,trade_body,,2026-07-29,https://extension.psu.edu/saffron-a-tale-of-red-gold-and-how-to-produce-your-own,"Held for its per-acre yield figure, which CONFLICTS with HS661 and is stored as a conflict rather than reconciled: Penn State says ""one acre of land produces only about 3 pounds"", HS661 says ""an annual yield of 8-10 pounds of dried saffron per acre is obtained in an established planting"".
Both are plausible and they are probably not measuring the same thing - HS661 explicitly says ""in an established planting"", and a saffron field takes years to reach that state. Neither figure is loaded as data. The disagreement is recorded because a three-fold spread between two extension services is the most honest thing we know about saffron yields.
Also states ""It takes about 50 flowers to produce just one teaspoon of dried saffron"", which is consistent with 150 flowers per gram only if a teaspoon of threads is about a third of a gram. Not loaded: converting it would require assuming the mass of a teaspoon of saffron, and that assumption would be ours rather than the source's."
refed-foodservice,"Foodservice methodology, Insights Engine Food Waste Monitor",ReFED,trade_body,,2026-07-28,https://docs.refed.org/methodologies/food_waste_monitor/foodservice.html,"Restaurants and foodservice generated 12.5 million tons of surplus food in 2024. Pre-consumer waste - spoilage, over-ordering, overproduction - runs 4% to 10% of food purchased. Separately, roughly 4.2% of food purchases go unutilised in commercial kitchens on average across Leanpath's client base. Post-consumer plate waste is about 70% of total foodservice waste but is deliberately EXCLUDED from this model: those wings reached the plate, which is where our question stops."
sdsu-ext-fed-steer-yield,How Much Meat Can You Expect from a Fed Steer?,South Dakota State University Extension,trade_body,2022-07-13,2026-07-31,https://extension.sdstate.edu/how-much-meat-can-you-expect-fed-steer,"The ground-beef-specific yield, which is the figure the subject actually needs: ""This 150 -185 pounds of lean trim would likely be packaged as ground beef."" The space before the dash is the page's own typography and is preserved everywhere it is quoted - tidying it is what made a true quote fail the gate on the Wikipedia row in this same batch.
Also carries the whole-chain arithmetic that reconciles: a 1,200 lb steer at 63 percent dressing gives a 750 lb carcass, ""about 65% of the carcass weight, or roughly 490 pounds, as boneless, trimmed beef"", which is ""approximately 40% of the live weight"". That internal consistency is why the 65 percent figure anchors the low end of the carcass-to-packaged band while MSU's 75 percent anchors the high end.
Lean trim is roughly a third of total packaged beef. The two must never be merged; only the trim figure becomes patties."
ucanr-mg-saffron,"Saffron - Garden Help, Herbs","UC Master Gardeners of Santa Clara County, UC ANR",trade_body,,2026-07-29,https://ucanr.edu/site/uc-master-gardeners-santa-clara-county/saffron,"Undated, which is why published_on is NULL rather than guessed.
The load-bearing source for flowers-per-gram: ""Each plant typically produces 2 to 4 flowers, and approximately 150 flowers are needed to yield 1 gram of dried spice."" It also states three stigmas per flower independently of HS661, which is why that constant is treated as settled.
This document was fetched by COOPER and then NOT extracted from - the retrieval stage found it, the extraction stage read only the HS661 PDF. The figure was recovered by a human reading the returned artifact. That is a pipeline finding, not a data one, and it is recorded here because it is the reason the raw documents come back with every batch."
ufifas-hs661-saffron,Saffron - Crocus sativus L. (HS661),"University of Florida IFAS Extension, Horticultural Sciences",trade_body,1994-05-01,2026-07-29,https://edis.ifas.ufl.edu/publication/MV136,"James M. Stephens, professor emeritus. Original publication May 1994, revised September 2015, reviewed October 2018 - so the figures are old, and saffron husbandry has not changed much in thirty years or three thousand.
Fetched as a PDF reprint by COOPER during batch-01-saffron. Worth recording that the PDF was nearly missed: the pdftotext path failed and only the pypdf fallback recovered it, which is why that fallback exists.
Carries two figures used here: three stigmas per blossom, and 210,000 stigmas per pound of saffron. The second is hedged in the source's own words (""Supposedly""), and it is stored at confidence=industry for exactly that reason."
umaine-7036e-maple,Bulletin #7036: How to Tap Maple Trees and Make Maple Syrup,University of Maine Cooperative Extension,trade_body,2019-01-01,2026-07-30,https://extension.umaine.edu/publications/7036e/,"Source for taps-per-tree by trunk diameter and for the conservative end of the per-tap seasonal yield. Its tapping guidance is stricter than older literature - one tap below 18 inches, a second only at 18 to 25 inches, a third only on very healthy trees over 25 inches - which is the direction the whole industry has moved for tree health.
Its season is given as calendar windows rather than a duration (""mid-February to early April in Southern Maine""), which is why season_length came back from COOPER with a quote and no number. That was the correct behaviour: subtracting two dates would have been our arithmetic, not the source's."
usapeec-paws-export,Chinese appetite for chicken paws proves a boon for U.S. producers,USA Poultry & Egg Export Council,trade_body,,2026-07-28,https://www.usapeec.org/newsroom/media/pressrelease/chineseappetiteforchickenpaws/,"Chicken paws and wing tips together form roughly a $648 million annual US export market, sold into China for soups, stews, and snacking. Rendering the same volume domestically would return less than a tenth of that. Paws fetch $0.80-$1.00/lb exported against $0.05-$0.10/lb as domestic animal feed - close to a tenfold difference."
uvm-jones-rule-86,"The ""Jones Rule of 86"" Revisited","University of Vermont Extension, Proctor Maple Research Center",trade_body,2013-10-01,2026-07-30,https://www.uvm.edu/extension/agriculture/maple/bizmodules/sites/default/files/imce/uploads/1013jonesruleof86.pdf,"The strongest maple source in the corpus and the only one that gives a RULE rather than a constant: divide 86 by the sap sugar concentration in degrees Brix to get gallons of sap per gallon of syrup. Devised by C.H. Jones at UVM in 1946.
Preferred over the folk ""40 gallons"" wherever both would serve, because 40:1 is only true near 2 Brix and this document says so in the same breath: an average 2 Brix sap ""would require 43 gallons of sap to produce 1 gallon of syrup, or a sap:syrup ratio of close to 40:1"".
Worth recording that COOPER read this document and quoted the weaker source anyway in batch-07-maple. The passage was retrieved and in front of the model - a single chunk, returned by best_chunks - so the preference for the round number was the model's, not a retrieval failure. See docs/research/accepted/batch-07-maple-REVIEW.md.
Also note the document's own caveat: the rule degrades at the high sugar concentrations reverse osmosis now produces, so it is a field rule, not a physical law."
vanilla-package-of-practice-2021,Package of Practice: Vanilla Cultivation,"North Eastern Council (NEC) / North Eastern Development Finance Corporation Limited (NEDFi), India",trade_body,,2026-08-15,https://www.advancingnortheast.in/wp-content/uploads/2021/10/Vanilla-Cultivation-PP-converted-3.pdf,"Undated within the document itself; the URL path carries a 2021 upload date, kept out of published_on since it names the upload, not necessarily authorship. A regional development-finance body's model project profile for vanilla cultivation, in the same ""extension-style practical guide"" category as Penn State's and UF/IFAS's saffron sources.
Sole source for the only figure batch-02-vanilla accepted: green_to_cured_ratio, ""About 6 kg of green pods produce 1 kg of cured beans."" Confirmed to state Vanilla planifolia by name."
worldbank-vanilla-cultivation-guide,Guide on Sustainable Vanilla Cultivation,World Bank,trade_body,,2026-07-29,https://documents1.worldbank.org/curated/en/099032424233135653/pdf/P17027419430cf08b18e671563dbd6cce04.pdf,"4,433 lines after pdftotext. Strong on pollination and field yields (43 and 48 keyword hits respectively) but mentions ""cured"" exactly once, so it could not answer the curing ratio -- coverage was checked per source before batch-02-vanilla was sent, not assumed. Also the source for the dropped flowers_per_bean row's quote (""A flower gives a vanilla bean after hand pollination"") -- true, and never loaded as data, because the numeral 1 never appears in that sentence. See docs/research/accepted/batch-02-vanilla-REVIEW.md."
cold-chain-transport-trade,Overcoming challenges in refrigerated transport,The National Provisioner,trade_press,,2026-07-28,https://www.provisioneronline.com/articles/116667-overcoming-challenges-in-refrigerated-transport,"Qualitative. Identifies the loss mechanisms for meat in transit - temperature excursion triggering load rejection at the receiving dock, physical damage, and mishandling - and notes temperature abuse during LOADING causes more rejected shipments than transit failures. No quantified rejection rate is given, in this or any source found."
eggs-unlimited-breakage,Broken Eggs 101: A Practical Guide for Commercial Egg Buyers and Sellers,Eggs Unlimited,trade_press,,2026-07-29,https://www.eggsunlimited.com/broken-eggs-101-commercial-guide/,"In-transit breakage expectations from the buy side. Commercial buyers expect under 1% for Grade A shell eggs; well-run short hauls come in under 0.5%; long hauls and export run 1.5-2% without optimised handling.
Trade press rather than a measured study, so confidence=industry. Carried because it is the only quantified transit figure found for eggs, and the contrast with wings is instructive: frozen IQF wings are robust enough that no citable transit figure exists at all, while eggs are fragile enough that the industry measures breakage closely - it is what the invoice argument is about."
jc-israeli-mangal,"Going up in smoke, Sabra style",The Jewish Chronicle,trade_press,,2026-07-29,https://www.thejc.com/life/food/going-up-in-smoke-sabra-style-q4sg2433,"Held for one specific thing: it names what actually goes on the mangal for Yom Ha'atzmaut, and chicken wings are on that list alongside pargiyot - deboned chicken thighs, cubed and skewered - with the meal built around small cuts and many salads rather than large joints.
That makes this project's exact product part of an Israeli national holiday, which is a better demo hook than any production statistic. It also observes that falafel, shawarma and schnitzel - the dishes outsiders name first - play very little role in the day.
Undated on the page, so published_on is NULL rather than guessed."
jfs-independence-day-grilling,The Grilling Tradition of Israel's Independence Day,Jewish Food Society,trade_press,,2026-07-29,https://www.jewishfoodsociety.org/stories/the-grilling-tradition-of-israels-independence-day,"Independent corroboration that Yom Ha'atzmaut grilling is near-universal rather than a niche custom - the mangal treated as as essential to the day as the president's speech - and that the tradition, while imported, has become distinctly Israeli. Two sources agreeing is why the cultural fact is loaded at all."
lone-mountain-carcass-grading,Carcass Grading (breeding guide technical resources),Lone Mountain Cattle Company,trade_press,,2026-08-15,https://www.lonemountaincattle.com/breeding-guide/technical-resources/carcass-grading/,"Commercial source -- an American wagyu breeder, not JMGA or a peer-reviewed paper -- graded industry accordingly. Cited ONLY for the BMS-to-quality-grade bucketing (BMS 8-12 -> quality 5; BMS 5-7 -> 4) and its ""a BMS 3 grade requires a minimum of 21% IMF"" anchor, plus the ribbing-site basis note (Japan ribs between the 6th/7th rib, the US between the 12th/13th).
NOT usable as a definition of what BMS measures: Fable's adversarial review (2026-08-16) confirmed this page attributes color, firmness and texture to the BMS grade itself, but per Gotoh BMS is a marbling-only score -- the four-factor lowest-of rule belongs to the separate meat quality grade (1-5). See docs/research/accepted/batch-03-wagyu-findings-round2.yaml."
nwe-silkworm,Silkworm,New World Encyclopedia,trade_press,,2026-07-31,https://www.newworldencyclopedia.org/entry/Silkworm,"A tertiary reference work - an encyclopedia entry, not a survey and not a study. Graded and cited as what it is.
Carried because it is the only silk source we hold that names a primary reference for its central figure: the cocoons-per-pound claim is attributed to Palmer 1949, which we have NOT seen. The citation in this corpus is therefore to the encyclopedia that carries the number, not to Palmer, on the principle that citing a paper through a source you have read is how a rumour acquires a footnote.
It is also the source of the sourced filament length, 300-900 m, which sits well below the commonly repeated ""1,000-1,600 m"". The lower sourced figure is the one to keep; the folk range has no source we could find."
poultrysite-contract-economics,Contract Broiler Production: Questions and Answers,The Poultry Site,trade_press,,2026-07-28,https://www.thepoultrysite.com/articles/contract-broiler-production-questions-and-answers,"A 20,000 sq ft house grosses roughly $34,000-$40,000 a year at average performance against $28,000-$30,000 of fixed and cash costs, leaving $6,000-$12,000 to the grower's land, labour, and management during the 15-year mortgage period."
poultryworld-israel-war-2024,Israel poultry industry hit by war and labour shortage,Poultry World (Misset),trade_press,2024-03-04,2026-07-29,https://www.poultryworld.net/the-industrymarkets/market-trends-analysis-the-industrymarkets-2/israel-poultry-industry-hit-by-war-and-labour-shortage/,"By Vladislav Vorotnikov. Explains a hole that is already visible in our CBS series: 16 million head of poultry lost across Newcastle disease outbreaks in Q4 2023, on top of poultry houses shut in the north and south and a labour shortage after foreign workers left. CBS output for 2023 is 553,068 tonnes - below 2020 - and this is why.
NOTE ON REACHABILITY: this URL returns 403 to some automated fetchers and 200 to an ordinary browser user-agent. It is alive; a 403 here is a bot filter, not a dead link. Do not retire it on one failed fetch.
Two figures in it are THIRD-HAND and are deliberately not loaded as data: Of HaGalil at about 15% of Israeli chicken slaughter and Of Oz at about 5%. Poultry World is citing TheMarker, which is citing unnamed industry sources. Worth knowing that both named plants sit in places our own district data covers - Kiryat Shmona in the north, Sha'ar HaNegev in the south, the latter marketing 9,813 tonnes of broilers in 2024 - so the claim is checkable in principle against a Hebrew original."
smithsonian-silk-road-2002,The Silk Road - Connecting Peoples and Cultures,Smithsonian Center for Folklife and Cultural Heritage,trade_press,2002-01-01,2026-07-31,https://festival.si.edu/2002/the-silk-road/the-silk-road-connecting-peoples-and-cultures/smithsonian,"A museum festival programme essay. The best provenance available for a cocoons-per-necktie figure, which says more about the state of that figure than about the Smithsonian.
It gives 150 cocoons per necktie. Two other figures circulate - 120-130 at AFB Education, and 110 across several retail and content-farm pages, all reproducing one unattributed sentence verbatim. This source is preferred on provenance alone, NOT on any evidence it is more accurate, and the conflict is recorded on the product row rather than resolved. No survey exists behind any of the three.
It replaced bows-n-ties, which carries the 120-130 figure in a browser and serves an article body that JavaScript truncates mid-word. To the project's fetcher that page contains neither 120 nor 130, so two research runs correctly returned nothing and read as model weakness for a week."
suekayton-silk-thread-and-cloth,Silk Thread and Cloth,Sue Kayton (silkworms.com educational pages),trade_press,,2026-07-31,https://www.suekayton.com/Silkworms/cloth.htm,"A schoolteacher's silkworm-rearing page for classroom use. The weakest provenance of anything cited in this corpus, and it is cited anyway for two figures because no better source states them and pretending otherwise would be worse than saying so plainly.
What it is good for: the FIVE-cocoons-per-thread reeling figure, which is the only mixing pool size in the entire project backed by a citation rather than by our own estimate. Both COOPER models returned it independently.
What to watch: its per-garment sentence answers two questions at once - ""It takes 1700 to 2000 cocoons to make one silk dress (or about 1,000 cocoons for a silk shirt)."" A previous research run stored the DRESS numbers in the SHIRT row and passed every automatic check, because every figure involved genuinely appears in the quote. Anyone re-reading this source should read the clause, not the sentence.
Historical footnote: this page is also where the entity-decoding bug was found. It carries 47 non-breaking spaces, and until fetch_url() learned to call html.unescape() they survived into the inbox and made an honest quote from it impossible to verify."
toi-poultry-imports-2025,Poultry producers warn first-ever imports of chickens will destroy local farms,The Times of Israel,trade_press,2025-09-07,2026-07-29,https://www.timesofisrael.com/poultry-producers-warn-first-ever-imports-of-chickens-will-destroy-local-farms/,"By Sue Surkes. The most useful Israeli poultry source found outside CBS, and the only one carrying the figure CBS does not publish: roughly 260 million broilers raised a year.
Attribution matters here and is the reason this is usable at all. The figures are attributed to a NAMED industry official - Moti Elkabetz, secretary of the Poultry Breeders Association - rather than to ""sources"" or ""industry estimates"". That makes it an industry figure with a person behind it, not an anonymous claim.
Also carries: NIS 10 billion annual turnover, about 600 large chicken farms, 20 kosher poultry slaughterhouses, some 6,000 dependent jobs, a 40-day grow-out, about 30% of product sold frozen, NIS 6.5/kg paid to the farmer against about NIS 20/kg at retail.
The 58.2 kg per-capita figure it quotes is sourced to Euromeatnews, whose article now 404s, so that number is NOT loaded from here. A live article citing a dead one does not resurrect the citation."
wattpoultry-top-producers,Top 10 US chicken producers grow in new directions,WATTPoultry / WATTAgNet,trade_press,,2026-07-28,https://www.wattagnet.com/broilers-turkeys/processing-slaughter/article/15516740/top-10-us-chicken-producers-grow-in-new-directions-wattagnet,Producer market shares and processing volumes.
